id,team_name,code
1,Borussia Mönchengladbach,BOR
2,Bayer 04 Leverkusen,B0L
3,RB Leipzig,RB
4,VfL Bochum 1848,VB1
5,TSG 1899 Hoffenheim,189
6,Holstein Kiel,HOL
7,SC Freiburg,FRE
8,VfB Stuttgart,VFB
9,FC Augsburg,AUG
10,SV Werder Bremen,WER
11,1. FSV Mainz 05,FM0
12,1. FC Union Berlin,UNI
13,Borussia Dortmund,BO1
14,Eintracht Frankfurt,EIN
15,VfL Wolfsburg,VFL
16,FC Bayern München,BAY
17,FC St. Pauli 1910,SP1
18,1. FC Heidenheim 1846,HEI
