id,team_name,code
1,Washington Spirit,WAS
2,Portland Thorns,POR
3,Boston Legacy,BOS
4,Gotham FC,GOT
5,Kansas City Current,KCC
6,Utah Royals,UTA
7,Bay,BAY
8,Denver Summit,DEN
9,North Carolina Courage,NCC
10,Racing Louisville,RAC
11,San Diego Wave,SDW
12,Houston Dash,HOU
13,Orlando Pride,ORL
14,Seattle Reign,SEA
15,Angel City,ANG
16,Chicago Stars,CHI
