id,team_name,code
1,Athletic Club,ATH
2,Getafe CF,GET
3,Real Betis Balompié,RBB
4,Girona FC,GIR
5,RC Celta de Vigo,CDV
6,Deportivo Alavés,DEP
7,UD Las Palmas,LAS
8,Sevilla FC,SEV
9,CA Osasuna,CA
10,CD Leganés,LEG
11,Valencia CF,VAL
12,FC Barcelona,BAR
13,Real Sociedad de Fútbol,RSD
14,Rayo Vallecano de Madrid,RVD
15,RCD Mallorca,MAL
16,Real Madrid CF,REA
17,Real Valladolid CF,RE1
18,RCD Espanyol de Barcelona,EDB
19,Villarreal CF,VIL
20,Club Atlético de Madrid,CAD
