id,team_name,code
1,Le Havre AC,LE
2,Paris Saint-Germain FC,PAR
3,Stade Brestois 29,SB2
4,Olympique de Marseille,ODM
5,Stade de Reims,SDR
6,Lille OSC,LIL
7,AS Monaco FC,MON
8,AS Saint-Étienne,SAI
9,AJ Auxerre,AJ
10,OGC Nice,NIC
11,Montpellier HSC,MO1
12,RC Strasbourg Alsace,STR
13,Toulouse FC,TOU
14,FC Nantes,NAN
15,Angers SCO,ANG
16,Racing Club de Lens,RCD
17,Stade Rennais FC 1901,SR1
18,Olympique Lyonnais,OLY
